FL_CKLIST_POSM,ID_MAQUINA_GRUPO,DS_DADOS_TECNICOS,DS_MODELO,DS_SERIE,NR_ANO_FABRICACAO,NR_POTENCIA,NR_TENSAO,DS_ATIVO_FISCAL,ST_MAQUINA,ID_CLIENTE,CD_MAQUINA,DS_MAQUINA,ID_FABRICANTE
S,15,"TALHA ELÉTRICA DS
MODELO: RC 1106
FABRICANTE: CLIMBER
1 TONELADA
LOCALIZAÇÃO: ÁREA DE ABASTECIMENTO DA EXTRUSÃO
AF.9447
",,,,,, ,A,1,TALHAMOD:RC1106,TALHA ELÉTRICA DS MODELO: RC1106 Nº 8584,121
S,15,"TALHA ELÉTRICA DS
MODELO: RC1107
FABRICANTE: CLIMBER
1 TONELADA
LOCALIZAÇÃO: ÁREA DE ABASTECIMENTO DA EXTRUSÃO
AF.9448",,,,,, ,A,1,TALHAMOD:RC1107,TALHA ELÉTRICA DS MODELO: RC1107 Nº 8585,121
S,15,"TALHA ELÉTRICA DS
MODELO: RC1108
FABRICANTE: CLIMBER
1 TONELADA
LOCALIZAÇÃO: ÁREA DE ABASTECIMENTO DA EXTRUSÃO
AF. 9449",,,,,, ,A,1,TALHAMOD:RC1108,TALHA ELÉTRICA DS MODELO: RC1108 Nº 8586,121
N,16,"MARCA: Trane	
SERIE: BR120352203183	
MODELO: SIVE350HPSO11AOS	
TR 20	
Injeção	
AF. 2977
",SIVE350HPSO11AOS	,BR120352203183,,,, ,A,1,AR COND. SC 36,SELF CONTAINED COLDEX TRANE SC 36 MOD.SIVE350HPSO11AOS 2977,110
N,16,"MARCA: Trane	
SERIE: BR120352203185	
MODELO: SIVE350HPSO11AOT	
TR 20	
Injeção	
AF. 2978
",SIVE350HPSO11AOT,BR120352203185,,,, ,A,1,AR COND. SC 38,SELF CONTAINED COLDEX TRANE SC 38 MOD. SIVE350HPSO11AOT 2978,110
N,20,"MARCA: Coldex Trane	
SERIE: 61576	
MODELO: SIVIB 100	
TR: 10,0	
LOCALIDADE: Sala Prensa	Filmes
AF. 344
",SIVIB 100,61576,,,, ,A,1,AR COND. SC 24,SELF CONTAINED COLDEX TRANE SC 24 MOD. SIVB100 AF.344,110
N,28,"MARCA: York	
SERIE: 031217675	
MODELO: MKC35G17	
TR 2,50	
Salão 2º andar - Nazaré",MKC35G17,031217675,,,, ,A,1,AR COND. SCA 22,SPLIT CASSETE YORK SCA 22 MOD. MKC35G17,184
N,28,"MARCA: York	
SERIE: 030937409	
MODELO: MKC35G17	
TR 2,50
Salão 2º andar - Nazaré",MKC35G17,030937409,,,, ,A,1,AR COND. SCA 23,SPLIT CASSETE YORK SCA 23 MOD. MKC35G17,184
N,28,"Salão 2º andar - Nazaré
MARCA: York	
SERIE: 031217669	
MODELO: MKC35G17	
TR 2,50
",MKC35G17,031217669,,,, ,A,1,AR COND. SCA 25,SPLIT CASSETE YORK SCA 25 MOD. MKC35G17,184
N,35,"MARCA: Electrolux		
MODELO: PI18F/PE18F	
TR 1,5	
LOCALIDADE: Enfermaria	
AF.8642
",PI18F/PE18F	,,,,, ,A,1,AR COND. SS 01,SPLIT SYSTEM ELETROLUX SS 01 MOD.PI18F/PE18F  AF.8642,182
N,36,"MARCA: Lennox	
SERIE: 5897G03441	
MODELO: 10ACB30 - 7P	
TR 2,5	
LOCALIDADE: Almoxarifado - Refeitorio
AF. 1469
",10ACB30 - 7P,5897G03441,,,, ,A,1,AR COND. SS 02,SPLIT SYSTEM LENNOX SS 02 MOD. 10ACB30-7P AF.1469,183
N,37,"Tipo: Split System	
Marca: Hitachi	
Nº série: P107283	
Modelo: RAS 302CS/AC
AF.1556
Local: Sala de TI Suporte / DesenvolvimentO
Prédio 02
",RAS 302CS/AC,P107283,,,, ,A,1,AR COND. SS 15,SPLIT SYSTEM HITACHI SS 15 MOD. RA302CS/AC AF.1556,149
N,31,"MARCA:Hitachi	
SERIE:00714	
MODELO:RAS 452BH	
TR 1,5	
Adm/ Extrusão	
AF. 1618
",RAS 452BH,00714,,,, ,A,1,AR COND. SS 22,SPLIT SYSTEM HITACHI SS 22 MOD. RAS452BH AF.1618,149
N,31,"MARCA:Hitachi	
SERIE: 00740	
MODELO: RAS 452BH	
TR 1,5	
LOCALIDADE: Gerência/ Extrusão (PROJETO FUTURO FERRAMENTARIA)	AF. 1619
",RAS 452BH,00740,,,, ,A,1,AR COND. SS 23,SPLIT SYSTEM HITACHI SS 23 MOD. RAS452BH AF.1619,149
N,42,"MARCA:Hitachi	
SERIE:00761	
MODELO:RAS 452BH	
TR 1,5	
LOCALIDADE: Sala de Reunião Prédio 1 -  Qualidade	
AF.1620
",RAS 452BH,00761,,,, ,A,1,AR COND. SS 25,SPLIT SYSTEM HITACHI SS 25 MOD. RAS452BH AF.1620,149
N,23,,,,,,, ,A,1,FILTRO PRED. 00,FILTRO PRÉDIO 00 E 01,44
N,20,,,,,,, ,A,1,MATRIM AF3995,MATRIM ATIVO FIXO 3995,134
N,32,,,,,,, ,A,1,ETEI,ESTAÇÃO DE TRATAMENTO DE EFLUENTES INDUSTRIAIS,76
N,44,"MARCA:Panasonic	
SERIE: 0187719764	
MODELO:CS-C12BKP6	
TR 1,5	
LOCALIDADE: Sala da Segurança / Circuito TV	
AF. 2646
",CS-C12BKP6,0187719764,,,, ,A,1,AR COND. SS 28,SPLIT SYSTEM PANASONIC SS 28 MOD. CS-C12BKP6 AF.2646,169
N,36,"Marca: Hitachi	
serie: 207968	
Modelo: RAA 040 A5P	
TR 4,00	
Localidade: Refeitório - Salão Refeitório	
AF. 3213
",RAA 040 A5P,207968,,,, ,A,1,AR COND. SS 44,SPLIT SYSTEM HITACHI SS 44 MOD. RAA040A5P AF.3213,149
N,36,"Marca: Hitachi	
serie: 207967	
modelo: RAA 040 A5P	
TR 4,00	
Localidade: Refeitório - Salão Refeitório	
AF. 3214
",RAA 040 A5P,207967,,,, ,A,1,AR COND. SS 45,SPLIT SYSTEM HITACHI SS 45 MOD. RAA040A5P AF.3214,149
N,36,"Marca: Hitachi	
serie: 207890	
Modelo: RAA 040 A5P	
TR 4,00	
Localidade: Refeitório - Salão Refeitório	
AF. 3216
",RAA 040 A5P,207890	,,,, ,A,1,AR COND. SS 47,SPLIT SYSTEM HITACHI SS 47 MOD. RAA040A5P AF.3216,149
N,36,"MARCA:Hitachi	
SERIE: RAA0904 635965	
MODELO: RAA030H3S	
TR 3,00	
LOCALIDADE: Sala de lavagem - Refeitorio	
AF. 7753/1
",RAA030H3S	,RAA0904 635965,,,, ,A,1,AR COND. SS 59,SPLIT SYSTEM HITACHI SS 59 MOD. RAA030H3S AF.7753/1,149
N,44,"Marca:Electrolux	
Serie: 2724ECBA206	
Modelo: PI24F/PE24F		
Localidade: Portaria Principal	
AF.8685
",PI24F/PE24F,2724ECBA206,,,, ,A,1,AR COND. SS 65,SPLIT SYSTEM ELECTROLUX SS 65 MOD. PI24F/PE24F AF. 8685,182
N,36,"MARCA: MC QUAY	
SERIE: 17975	
MODELO: ELC 90.C	
TR 3	
LOCALIDADE: Câmara de frutas	
AF.1458
",ELC 90.C,17975,,,, ,A,1,C. FRIG. CF 01,CAMARA FRIGORIFICA CF 01 MOD. ELC 90.C AF.1458,108
N,36,"Marca: MC QUAY	
Serie: 18336	
Modelo: ELC 90.C	
TR 3	
Localidade: Câmara de carnes	
AF. 1459
",MC QUAY,18336,,,, ,A,1,C. FRIG. CF 02,CAMARA FRIGORIFICA CF 02 MOD. ELC90.C AF.1459,108
N,18,"Dados técnicos

Ar condicionador eletrolux ACJ 13

MOD: EC07F
Nº DE SERIE: 40601964
TR 7.500
AF.9458
Localização: Escritório",,,,,, ,I,1,AR.COND.ACJ 13,CONDICIONADOR ELETROLUX ACJ13 MOD. EC07F AF.9458,44
N,15,,,,,,, ,A,1,MATRIM AF8206,MATRIM ATIVO FIXO 8206,134
S,13,,,,,,, ,A,1,CALANDRA W,CALANDRA WELEX MOD.12 24 24 SÉRIE 8092,113
S,13,,,,,,, ,A,1,CO-EXT 01,EXTRUSORA 65MM WELEX - CO- 01,113
S,13,,,,,,, ,A,1,CO-EXT 02,EXTRUSORA 65MM  WELEX - CO-02,113
S,13,,,,,,, ,A,1,CO-EXT 03,EXTRUSORA 50MM  WELEX - CO-03,113
S,13,,,,,,, ,A,1,EXTRUSORA W,"EXTRUSORA 120MM (2,5"")  SERIE 20/8089 WELEX",113
S,14,,,,,,, ,A,1,BOBINADOR DS,BOBINADOR DAVIS STANDART,160
S,14,,,,,,, ,A,1,CALANDRA DS,CALANDRA DAVIS STANDART,160
S,14,,,,,,, ,A,1,EXTRUSORA DSA,EXTRUSORA DAVIS STANDART BX820 - DS A,160
S,14,,,,,,, ,A,1,EXTRUSORA DSB,EXTRUSORA DAVIS STANDART BX814 - DS B,160
S,14,,,,,,, ,A,1,EXTRUSORA DSC,EXTRUSORA DAVIS STANDART BX817 - DS C,160
S,14,,,,,,, ,A,1,EXTRUSORA DSD,EXTRUSORA DAVIS STANDART BX810 - DS D,160
N,20,,,,,,, ,A,1,NISHI,NISHIMURA - PE50 - S/N 139001,24
N,20,,,,,,, ,A,1,PROC479RX,PROCESSADORA 479 RX,20
N,20,,,,,,, ,A,1,PROC660,PROCESSADORA 660-20,44
S,23,,,,,,, ,A,1,ALIM_MP03,ALIMENTADOR M. P.  03 - MIX WELEX - EXTRUSÃO,44
N,39,,,,,,, ,A,1,MATRIM AF1161,MATRIM ATIVO FIXO 1161 MOD BYG2000B,134
S,23,,,,,,, ,A,1,ALIM_MP04,ALIMENTADOR M. P.  04 - WELEX - EXTRUSAO,44
S,23,,,,,,, ,A,1,ALIM_MP05,ALIMENTADOR M. P.  05 - DS - EXTRUSÃO,44
N,23,,,,,,, ,A,1,COMP_AR01,COMPRESSOR DE AR 01 - S16 - CHICAGO,92
N,23,,,,,,, ,A,1,COMP_AR02,COMPRESSOR DE AR 02 - S14 - CHICAGO,92
N,26,,,,,,, ,A,1,SEC_AR01,SECADOR DE AR 01 - CHICAGO,92
N,26,,,,,,, ,A,1,SEC_AR02,SECADOR DE AR 02 - CHICAGO,92
S,23,,,,,,, ,A,1,MOI05,MOINHO 05 - MECANOFAR MFL300,135
S,15,,,,,,, ,A,1,MOI06,MOINHO 06 - RAPID F14,139
S,15,,,,,,, ,A,1,MOI07,MOINHO 07 - RAPID 2036 KURF,139
N,26,,,,,,, ,A,1,GERADOR,GERADOR DE ENERGIA,43
N,26,,,,,,, ,A,1,SUBES69,SUBESTAÇÃO 69 KV,157
N,21,,,,,,, ,A,1,EMP 01 - TOYOTA,EMPILHADEIRA Nº 01 MOD 5FGCU25-81317,98
N,21,,,,,,, ,A,1,EMP 02 - TOYOTA,EMPILHADEIRA Nº 02 MOD 5FGU30-76101,98
N,21,,,,,,, ,A,1,EMP 03 - TOYOTA,EMPILHADEIRA Nº 03 MOD 42-6FGCU25,98
N,21,,,,,,, ,A,1,EMP 04 - TOYOTA,EMPILHADEIRA Nº 04,98
N,21,,,,,,, ,A,1,EMP 05 - LINDE,EMPILHADEIRA Nº 05,164
N,4,,,,,,, ,A,1,EMP. SKAN 01,EMPILHADEIRA ELÉTRICA Nº 01,125
N,1,,,,,,, ,A,1,EMP. SKAN 02,EMPILHADEIRA ELÉTRICA Nº 02,125
S,23,,,,,,, ,A,1,VIRADOR01,VIRADOR DE BOBINA Nº 01 - PALETRANS,137
S,23,,,,,,, ,A,1,VIRADOR02,VIRADOR DE BOBINA Nº 02 - PALETRANS,137
N,23,,,,,,, ,A,1,MATRIM AF2024,MATRIM ATIVO FIXO 2024 MOD BYG2000K,134
N,39,,,,,,, ,A,1,MATRIM AF2144,MATRIM ATIVO FIXO 2144 MOD LOW PROFILE,44
N,23,,,,,,, ,A,1,MATRIM AF3210,MATRIM ATIVO FIXO 3210,44
N,23,,,,,,, ,A,1,MATRIM AF8207,MATRIM ATIVO FIXO 8207,44
N,23,,,,,,, ,A,1,MATRIM AF8205,MATRIM ATIVO FIXO 8205,44
N,44,,,,,,, ,A,1,CANCELA,CANCELA DA PORTARIA,168
N,40,,,,,,, ,A,1,OUTROS MANUT,OUTROS MANUTENCAO INDUSTRIAL,44
N,39,,,,,,, ,A,1,OUTROS MATERIA,OUTROS DISPOSITIVOS MATERIAIS,44
N,44,,,,,,, ,A,1,OUTROS SEGU,OUTROS DISPOSITIVOS SEGURANCA,44
N,32,,,,,,, ,A,1,OUTROS ETE,OUTROS DISPOSITIVOS ETE,44
N,40,,,,,,, ,A,1,CAIXADAGUA,CAIXA D'AGUA,130
N,44,,,,,,, ,A,1,SISTEMA,SISTEMA DE ALARME DE INCENDIO,176
N,32,,,,,,, ,A,1,MATRIM AF8569,MATRIM ATIVO FIXO 8569 MOD BYG2000,134
N,16,,,,,,, ,A,1,OUTROS INJ,OUTROS DISPOSITIVOS INJEÇÃO PLÁSTICA,44
N,15,,,,,,, ,A,1,OUTROS EXT,OUTROS DISPOSITIVOS EXTRUSÃO,44
N,20,,,,,,, ,A,1,OUTROS FILMES,OUTROS DISPOSITIVOS FILMES,44
N,42,,,,,,, ,A,1,OUTROS CQ,OUTROS DISPOSITIVOS CQ,44
S,13,,,,,,, ,A,1,LINHA WELEX,EXTRUSORA WELEX,113
S,14,,,,,,, ,A,1,LINHA DS,EXTRUSORA DAVIS STANDARD,160
N,23,"CH09	
Chiller 	
Marca: Piovan
Modelo: CH700S 
nº de série: B7RE0217",,,,,, ,A,1,CHILLER PIO 09,CHILLER PIOVAN 09 AF.2702,86
N,23,,,,,,, ,A,1,CHILLER PIO 10,CHILLER PIOVAN 10,86
N,21,,,,,,, ,A,1,EMP 06 - LINDE,EMPILHADEIRA Nº 06 - IROS,164
S,15,,,,,,, ,A,1,MIST PQ 01,MISTURADOR DE M P PEQUENO 01,130
S,15,,,,,,, ,A,1,MIST GD 01,MISTURADOR DE M P GRANDE 01,130
N,23,"Marca: Trane
Serie: B0705C0009	
Modelo: RTAA1254YA1A0002	
TR 125	
Localidade: Utilidades - Extrusão	
AF. 4996
",,,,,, ,A,1,CHILLER CH 06,CHILLER TRANE CH 06 MOD. RTAA125VA1A0009 AF.4996,110
N,23,"CH 07	
Marca:Hitachi	
N/S:RCU0905 645527	
Modelo: RCU260SAZ2A9P	
TR 240	
Prédio: 00 Utilidades - Extrusão	
Ativo fixo: 7643

",,,,,, ,A,1,CHILLER CH 07,CHILLER HITACHI CH 07 MOD. RCU260SAZ2A9P AF.7643,149
N,34,"MARCA: Lennox	
SERIE: 5897G15639	
MODELO: 10ACB24 - 7P	
TR 2	
LOCALIDADE: Sala de descanso antiga sala ronaldo - Conservação e Limpeza	
AF . 1474
",10ACB24 - 7P,5897G15639,,,, ,A,1,AR COND. SS 03,SPILT SYSTEM LENNOX SS 03 MOD. 10ACB-7P AF.1474,183
N,37,"Tipo:Split System	
Marca: Lennox	
Número de Série: 5897G15640	
Modelo:10ACB24 - 7P	
TR: 2,00
Local: Sala do Servidor
AF.1470",10ACB24 - 7P,5897G15640,,,, ,A,1,AR COND. SS 07,SPLIT SYSTEM LENNOX SS 07 MOD. 10ACB24-7P AF.1470,183
N,41,"Tipo:Split System	
Marca: Lennox	
nº de sére: 5897G15640	
modelo:10ACB24 - 7P	
TR: 2,00
AF:1558
Localidade: Sala Tedeschi
Prédio 02",10ACB24 - 7P,5897G15640,,,, ,A,1,AR COND. SS 13,SPLIT SYSTEM HITACHI SS 13 MOD. 10ACB24 - 7P AF.1558,149
N,37,"Tipo:Split System	
Marca:Hitachi	
nº de serie: P107281	
Modelo: RAS 302CS/AC	
TR: 3,00
Local: Sala de TI Suporte / Desenvolvimento
AF: 1555
Prédio 02",RAS 302CS/AC,P107281,,,, ,A,1,AR COND. SS 14,SPLIT SYSTEM HITACHI SS 14 MOD. RAS302CS/AC AF.1555,149
N,41,"Tipo:Split System	
Marca: Hitachi	
Nº de série: P107282	
Modelo: RAS 302CS/AC	
TR: 3,00	02	
Local: Sala de Reunião - Prédio 02	
AF.1557
",RAS 302CS/AC,P107282,,,, ,A,1,AR COND. SS 16,SPLIT SYSTEM HITACHI SS 16 MOD. RAS302CS/AC AF.1557,149
N,20,"MARCA:Hitachi	
SERIE:LF17338	
MODELO:RAS362B1	
TR 1,5	
LOCALIDADE: Sala de Revelação
",RAS362B1,LF17338,,,, ,A,1,AR COND. SS 18,SPLIT SYSTEM HITACHI SS 18 MOD. LF17338,149
N,31,"MARCA:Lennox	
SERIE:5897603443	
MODELO:10ACB30 - 7P	
TR 2,5	Gerência 
 Extrusão - Donizete	
AF.1658
",10ACB30 - 7P,5897603443,,,, ,A,1,AR COND. SS 21,SPLIT SYSTEM LENNOX SS 21 MOD. 10ACB24-7P AF.1658,183
N,42,"MARCA: Hitachi	
SERIE:00701	
MODELO:RAS 452BH	
TR 1,5	
LOCALIDADE< Adm. Qualidade	
AF. 1621
",RAS 452BH,00701,,,, ,A,1,AR COND. SS 24,SPLIT SYSTEM HITACHI SS 24 MOD. RAS452BH AF.1612,149
N,37,"Tipo: Split System	
Marca:Panasonic	
Nº serie: 0141007683	
Modelo: CS-2403KP	2,00	
TR: 02	
Localidade: Sala do Servidor - TI	
AF. 1950
",CS-2403KP, 0141007683,,,, ,A,1,AR COND. SS 26,SPLIT SYSTEM PANASONIC SS 26 MOD. CS-2403KP AF.1950,169
N,35,"Marca: Pionner	
N} SERIE: 51140070-080235	
MODELO:KF-51G / KF 51W 	
TR 1,5	
LOCALIDADE: Enfermaria - Sala Médico
AF.9461
",KF-51G / KF 51W 	,51140070-080235,,,, ,A,1,AR COND. SS 27,SPLIT SYSTEM PIONNER SS 27 MOD.  KF-51G / KF 51W AF.9461,169
N,39,"Marca: Hitachi
N} SERIE: RCA 0204133776
MODELO: RCA 03203 BX 16XPPP	
TR 1
LOCALIDADE: Sala de perigosos
AF.9635
",RCA 03203 BX 16XPPP,RCA 0204133776,,,, ,A,1,AR COND. SS 34,SPLIT SYSTEM HITACHI SS 34 MOD. RAS322,149
N,36,"Marca: Hitachi	
Serie: 207966	
Modelo: RAA 040 A5P	
TR 4,00	
Localidade: Refeitório - Salão Refeitório
AF. 3215
",RAA 040 A5P,207966	,,,, ,A,1,AR COND. SS 46,SPLIT SYSTEM HITACHI SS 46 MOD. RAA040A5P AF.3215,149
N,40,"Tipo: Split System	
Marca: Hitachi	
Nº de série: RAC0301172413
Modelo: RAC00506AX26XPP	
TR: 3,00	
Localidade: Sala Manutenção - Predial	
Prédio 02 - lateral
AF.2351
",,,,,, ,A,1,AR COND. SS 51,SPLIT SYSTEM HITACHI SS 51 MOD. RAC00506AX26XPP AF.2351,149
N,38,"Tipo: Split System	
Marca: Hitachi	
nº serie: 9910120914	
modelo: RCA04506AX16XPP	
TR: 1,50	
Localidade: Adm. Industrial - Prédio 01

AF. 2350
",RCA04506AX16XPP	,9910120914,,,, ,A,1,AR COND. SS 52,SPLIT SYSTEM HITACHI SS 52 MOD. RCA04506AX16XPP AF. 2350,149
N,39,"Tipo: Split System	
Marca:Hitachi	
Serie: RAC0301172412	
Modelo: RAC00506AX26XPP	
TR: 3,00	
Localidade: Spare Parts (Mezanino - Prédio 01)
AF.2353",RAC00506AX26XPP,RAC0301172412	,,,, ,A,1,AR COND. SS 53,SPLIT SYSTEM HITACHI SS 53 MOD. RAC00506AX26XPP AF.2353,149
N,39,"Tipo: Split System	
Marca: Hitachi	
Nº de sérire: RAC0301172410	
Modelo: RAC00506AX26XPP	
TR: 3,00	
Local: Spare Parts (Prédio 01)	
AF. 2352
",RAC00506AX26XPP,RAC0301172410,,,, ,A,1,AR COND. SS 54,SPLIT SYSTEM HITACHI SS 54 MOD. RAC00506AX26XPP AF.2352,149
N,39,"Tipo: Split System	
Marca: Hitachi	
nº serie: RAC0204133851	
Modelo: RAC03603BX16XPP	
TR: 1,18		
Localidade: Spare Parts (Mezanino - Prédio 01)	
AF: 2348
",RAC03603BX16XPP, RAC0204133851,,,, ,A,1,AR COND. SS 55,SPLIT SYSTEM HITACHI SS 55 MOD. RAC00506AX26XPP AF.2348,149
N,36,,,,,,, ,A,1,AR COND. SS 56,SPLIT SYSTEM HITACHI SS 56 MOD.MCW509K10RAB,110
N,36,"Marca: Hitachi	
Serie: RAA0912	
Modelo: RAA12A	
TR 1	
Localidade: Padaria - Refeitorio	
AF. 7753
",RAA12A	,RAA0912,,,, ,A,1,AR COND. SS 58,SPLIT SYSTEM HITACHI SS 58 MOD. RAA12A AF.7753,149
N,20,"Split System	
Marca: Electrolux	
N/s:SI30F/SE30F	
Modelo: SI30F	
TR 1,50	
Prédio: 01	
Local: Sala CQ Filmes
Qualidade - Filmes	
AF. 8641
",SI30F,SI30F/SE30F,,,, ,A,1,AR COND. SS 63,SPLIT SYSTEM ELECTROLUX SS 63 MOD. SI30F/SE30F AF.8641,182
N,16,"MARCA: Self Contained Trane	
SERIE: B2039850049	
MODELO: SIVE - 2002T	
TR 20	
LOCALIZAÇÃO : Injeção	
AF. 1106
",SIVE - 2002T	,B2039850049,,,, ,A,1,AR COND. SC 01,SELF CONTAINED COLDEX TRANE SC 01 MOD. SIVE 200 AF.1106,110
N,16,"MARCA: Trane	
SERIE: B2039850046	
MODELO: SIVE - 2002T	
TR 20	
LOCALIDADE: Injeção	
AF. 1103
",SIVE - 2002T	,B2039850046,,,, ,A,1,AR COND. SC 04,SELF CONTAINED COLDEX TRANE SC 04 MOD. SIVE 200 AF.1103,110
N,16,"MARCA:Trane	
SERIE: B019750084	
MODELO: CIVIC - 2002H	
TR 20	
LOCALIDADE: Injeção	
AF. 725
",CIVIC - 2002H,B019750084,,,, ,A,1,AR COND. SC 06,SELF CONTAINED COLDEX TRANE SC 06 MOD. SIVE 200 AF.725,110
N,16,"MARCA:Trane	
SERIE: B019750081
MODELO: CIVIC - 2002H	
TR 20	
LOCALIDADE: Injeção	
AF. 717
",,,,,, ,A,1,AR COND. SC 08,SELF CONTAINED COLDEX TRANE SC 08 MOD. SIVE 200 AF.717,110
N,39,"AF.732
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVE 100
Localização:MATERIAIS / Prédio 01
Serie: 63569
TR 10,00
",SIVE 100,63569,,,, ,A,1,AR COND. SC 10,SELF CONTAINED COLDEX TRANE SC 10 MOD. SIVE 100 AF.732,110
N,39,"AF. 733
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização:MATERIAIS / Prédio 01
Serie: 65230
TR 10,00
",SIVIB 100,65230,,,, ,A,1,AR COND. SC 11,SELF CONTAINED COLDEX TRANE SC 11 MOD. SIVE 100 AF.733,110
N,39,"AF. 735
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização:MATERIAIS / Prédio 01
Serie: 65231
TR 10,00
",SIVIB 100,65231,,,, ,A,1,AR COND. SC 12,SELF CONTAINED COLDEX TRANE SC 12 MOD. SIVE 100 AF.735,110
N,39,"AF.734
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização:MATERIAIS / Prédio 01
Serie: 66433
TR 10,00
",SIVIB 100,66433,,,, ,A,1,AR COND. SC 13,SELF CONTAINED COLDEX TRANE SC 13 MOD. SIVB100AF.734,110
N,39,"AF.843
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização:MATERIAIS / Prédio 01
Serie: 62882
TR 10,00
",SIVIB 100,62882,,,, ,A,1,AR COND. SC 14,SELF CONTAINED COLDEX TRANE SC 14 MOD. SIVB100 AF.843,110
N,40,"AF828
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização: Manutenção Industrial / Sala do disponíveis
Serie: 63568
TR 10,00
",SIVIB 100,63568,,,, ,A,1,AR COND. SC 15,SELF CONTAINED COLDEX TRANE SC 15 MOD. SIVB100 AF.828,110
N,39,"AF.370
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 050
Localização:MATERIAIS / Prédio 01
Serie: 65981 
TR 5,00
",SIVIB 100,65981,,,, ,A,1,AR COND. SC 16,SELF CONTAINED COLDEX TRANE SC 16 MOD. SIVB050 AF.370,110
N,20,"AF.339
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização:Ind. Filmes - Guilhotina / Prédio 01
Serie: 61988
TR 10,00",SIVIB 100,61988,,,, ,A,1,AR COND. SC 17,SELF CONTAINED COLDEX TRANE SC 17 MOD. SIVB100 AF.339,110
N,39,"AF.343
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 050
Localização:MATERIAIS / Prédio 01
Serie: 61975
TR 5,00",SIVIB 050,61975,,,, ,A,1,AR COND. SC 18,SELF CONTAINED COLDEX TRANE SC 18 MOD. SIVB050 AF.343,110
