CD_TIPO,FL_PARADO,FL_PROGRAMAR,ID_CLIENTE,CD_MAQUINA,SQ_CHECKITEM,NR_ORDEM,DS_INSPECAO,DS_OBS,DT_CKECKITEM,DT_INICIO,DT_TERMINO,TP_RECORRENCIA,QT_RECORRENCIA,ST_CHECKITEM,ID_CKOS
PRE,N,S,1,NISHI,132,7,Reapertar todos os terminais elétricos,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,133,8,Limpeza geral,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RME,1,A,1
PRE,N,S,1,NISHI,134,9,Trocar o óleo do controlador PIV,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RSM,1,A,4
PRE,N,S,1,NISHI,135,10,Trocar o filtro de óleo da unidade hidráulica,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RSM,1,A,5
PRE,N,S,1,NISHI,136,11,Trocar o óleo da unidade hidráulica,,2011-08-24T10:35:54,2011-08-24T10:35:54,,RSM,1,A,6
PRE,N,S,1,NISHI,137,12,Revisão Pneumática,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RSM,1,A,2
PRE,N,S,1,NISHI,138,13,Revisão Elétrica,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RSM,1,A,
PRE,N,S,1,NISHI,139,14,Revisão Mecânica,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RSM,1,A,3
PRE,N,S,1,PROC479RX,144,1,Verificar a temperatura do revelador,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC479RX,145,2,Limpeza interna,WD 40 e pano,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC479RX,146,3,Trocar o filtro,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC479RX,147,4,Limpar as mangueiras,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC479RX,148,5,Verificar a regeneração dos químicos,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC479RX,149,6,Manutenção elétrica,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,2
PRE,N,S,1,PROC479RX,150,7,Manutenção mecânica,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,3
PRE,N,S,1,PROC660,151,1,Verificar a temperatura do revelador,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC660,152,2,Limpeza interna,WD 40 e pano,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC660,153,3,Trocar o filtro,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC660,154,4,Limpar as mangueiras,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC660,155,5,Verificar a regeneração dos químicos,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC660,156,6,Manutenção elétrica,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,PROC660,157,7,Manutenção mecânica,,2011-08-24T10:35:55,2011-08-24T10:35:55,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6698,100,EXT. W - Substituição da bomba de circulação de água da bomba de gaseficação,,2011-11-25T00:00:00,,,RAN,,A,22
PRE,N,S,1,LINHA WELEX,7397,87,"CAL. W -Troca do óleo (redutores dos rolos principais, esticadores e bobinadores).",,2014-01-06T00:00:00,,,RAN,,A,
PRE,N,S,1,EXTRUSORA DSD,6304,226,BOB DS - Limpeza geral dos  trilhos da Talha de retirada da Bobina,,2011-11-18T00:00:00,,,RBM,,A,17
PRE,N,S,1,EXTRUSORA W,6324,130,CAL. W - Limpar ventiladores de resfriamento da chapa,,2011-11-21T00:00:00,,,RBM,,A,23
PRE,N,S,1,EXTRUSORA DSD,6325,227,BOB DS - Limpar e evrificar eixo bobinador,,2011-11-21T00:00:00,,,RME,,A,1
PRE,N,S,1,LINHA WELEX,7563,119,BOB. WELEX - Realizar inspeção e verificação de funcionamento dos ventiladores antiestático,,2015-10-29T00:00:00,,,RME,,A,1
PRE,N,S,1,LINHA WELEX,7564,120,BOB. WELEX - Efetuar limpeza dos ventiladores antiestático.,,2015-10-29T00:00:00,,,RTM,,A,8
PRE,N,S,1,TALHA_VIRAD_DS,7623,1,Verificação das botoeiras,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_VIRAD_DS,7624,2,Verificação dos cabos de aço,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_VIRAD_DS,7625,3,Verificação do nível do óleo do redutor,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_VIRAD_DS,7626,4,Verificação do estado geral do redutor,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_VIRAD_DS,7627,5,Verificação do estado geral do trole,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6646,56,CO. 01 / 02 - Lubrificar a união rotativa com duas bombeadas de graxa.,MERP 409300.15750,2011-11-25T00:00:00,,,RSM,,A,6
PRE,N,S,1,LINHA WELEX,6647,57,CO. 01 / 02 - Realizar a troca do óleo redutor do motor principal.,MERP 409300.04294,2011-11-25T00:00:00,,,RSM,,A,6
PRE,N,S,1,TALHA_VIRAD_DS,7628,6,Verificação geral do quadro elétrico,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6649,58,CO. 01 / 02 - Limpeza do trocador de calor e substituir da água.,,2011-11-25T00:00:00,,,RSM,,A,9
PRE,N,S,1,LINHA WELEX,6650,59,CO. 01 / 02 - Verificar vazamento de material e partes danificadas no canhão.,,2011-11-25T00:00:00,,,RSM,,A,9
PRE,N,S,1,LINHA WELEX,6651,60,CO. 01 / 02 - Verificar as condições e o aperto das resistências e dos termopares.,,2011-11-25T00:00:00,,,RSM,,A,9
PRE,N,S,1,LINHA WELEX,6652,61,CO. 01 / 02 - Limpar e reaperto dos controladores de temperatura.,,2011-11-25T00:00:00,,,RSM,,A,9
PRE,N,S,1,TALHA_VIRAD_DS,7629,7,Verificação do possível vazamento de óleo,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6654,62,CO. 01 / 02 - Limpeza interna do motor da rosca.,,2011-11-25T00:00:00,,,RSM,,A,9
PRE,N,S,1,LINHA WELEX,6655,63,CO. 01 / 02 - Verificar a resistência do isolamento do motor elétrico da rosca.,,2011-11-25T00:00:00,,,RSM,,A,9
PRE,N,S,1,LINHA WELEX,6656,64,CO. 01 / 02 - Verificar as conexões elétricas do motor da rosca.,,2011-11-25T00:00:00,,,RSM,,A,11
PRE,N,S,1,LINHA WELEX,6657,65,CO. 01 / 02 - Lubrificar em funcionamento os rolamentos do motor da rosca.,,2011-11-25T00:00:00,,,RSM,,A,11
PRE,N,S,1,LINHA WELEX,6658,66,CO. 01 / 02 -  Trocar filtrando o óleo Hidráulico.,MERP 409300.16037,2011-11-25T00:00:00,,,RSM,,A,11
PRE,N,S,1,TALHA_VIRAD_DS,7630,8,Verificação de desgastes das engrenagens e polias,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6660,67,CO. 03 - Trocar o óleo do redutor do motor principal,MERP 409300.04294,2011-11-25T00:00:00,,,RSM,,A,11
PRE,N,S,1,LINHA WELEX,6661,68,"CO. 03 -Lubrificar entre 10 e 20 gotas de óleo, os motores para ventilação do canhão.",,2011-11-25T00:00:00,,,RSM,,A,11
PRE,N,S,1,LINHA WELEX,6662,69,CO. 03 -Lubrificar os rolamentos do motor da rosca.,MERP 409300.15750,2011-11-25T00:00:00,,,RSM,,A,11
PRE,N,S,1,TALHA_VIRAD_DS,7631,10,Revisão Geral - Mecânica,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6664,70,CO. 03 -Verificar vazamento de material e partes danificadas no canhão.,,2011-11-25T00:00:00,,,RSM,,A,13
PRE,N,S,1,LINHA WELEX,6665,74,EXT. W - Realizar a troca do óleo redutor do motor principal,MERP 409300.04294,2011-11-25T00:00:00,,,RSM,,A,13
PRE,N,S,1,TALHA_VIRAD_DS,7633,9,Revisão Geral - Elétrica,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6667,75,EXT. W - Limpeza do trocador de calor e substituir da água.,,2011-11-25T00:00:00,,,RSM,,A,13
PRE,N,S,1,LINHA WELEX,6668,76,EXT. W - Verificar vazamento de material e partes danificadas no canhão.,,2011-11-25T00:00:00,,,RSM,,A,13
PRE,N,S,1,LINHA WELEX,6669,77,EXT. W - Verificar as condições e o aperto das resistências e dos termopares.,,2011-11-25T00:00:00,,,RSM,,A,13
PRE,N,S,1,LINHA WELEX,6670,78,EXT. W - Limpar e reaperto dos controladores de temperatura.,,2011-11-25T00:00:00,,,RSM,,A,15
PRE,N,S,1,LINHA WELEX,6671,79,EXT. W - Limpeza interna do motor da rosca.,,2011-11-25T00:00:00,,,RSM,,A,15
PRE,N,S,1,LINHA WELEX,6672,80,EXT. W - Verificar a resistência do isolamento do motor elétrico da rosca.,,2011-11-25T00:00:00,,,RSM,,A,15
PRE,N,S,1,LINHA WELEX,6673,81,EXT. W - Verificar as conexões elétricas do motor da rosca,,2011-11-25T00:00:00,,,RSM,,A,15
PRE,N,S,1,LINHA WELEX,6674,82,EXT. W -Lubrificar em funcionamento os rolamentos do motor da rosca.,MERP 409300.15750,2011-11-25T00:00:00,,,RSM,,A,15
PRE,N,S,1,LINHA WELEX,6675,83,EXT. W - Trocar filtrando o óleo Hidráulico.,MERP 409300.16037,2011-11-25T00:00:00,,,RSM,,A,15
PRE,N,S,1,TALHA_VIRAD_DS,7634,12,Checar reaperto de parafusos e porcas,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6677,84,"CAL. W -Verificar e lubrificar os rolamentos dos motores dos rolos principais, esticadores e bobinadores",MERP 409300.15750,2011-11-25T00:00:00,,,RAN,,A,4
PRE,N,S,1,LINHA WELEX,6678,85,CAL. W -Verificar o aperto das conexões elétricas das resistências do sistema de troca de calor.,,2011-11-25T00:00:00,,,RAN,,A,7
PRE,N,S,1,LINHA WELEX,6679,86,"CAL. W -Drenar o sistema de refrigeração e verificar as condições das tubulações, das resistências e das bombas de circulação de água.",,2011-11-25T00:00:00,,,RAN,,A,7
PRE,N,S,1,SUBES69,7635,5,Inspeção Técnica,,2016-06-16T00:00:00,,,RME,1,A,1
PRE,N,S,1,SUBES69,7636,6,Inspeção Termográfica,,2016-06-16T00:00:00,,,RAN,1,A,
PRE,N,S,1,TALHA_BOBIN_DS,7643,1,Verificação das botoeiras,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7644,2,Verificação dos cabos de aço,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7645,3,Verificação do nível do óleo redutor,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,LINHA WELEX,6685,88,CO. 01 / 02 - Trocar o óleo da caixa de redução da bomba de processo.,MERP 409300.04294,2011-11-25T00:00:00,,,RAN,,A,14
PRE,N,S,1,LINHA WELEX,6686,89,CO. 01 / 02 - Verificação e lubrificação do rolamento do motor elétrico da bomba de processo.,MERP 409300.15750,2011-11-25T00:00:00,,,RAN,,A,16
PRE,N,S,1,LINHA WELEX,6687,90,CO. 01 / 02 - Verificar desgastes e alinhamento do acoplamento do motor da rosca.,,2011-11-25T00:00:00,,,RAN,,A,16
PRE,N,S,1,LINHA WELEX,6688,91,CO. 01 / 02 - Lubrificação do acoplamento do motor da rosca.,MERP 409300.15750,2011-11-25T00:00:00,,,RAN,,A,17
PRE,N,S,1,TALHA_BOBIN_DS,7646,4,Verificação do estado geral do redutor,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7647,5,Verificação do estado geral do trole,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7648,6,Verificação geral do quadro elétrico,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7649,7,Verificação de possível vazamento de óleo,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7650,8,Verificação de desgastes das engrenagens e polias,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7651,9,Revisão Geral - Elétrica,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,TALHA_BOBIN_DS,7652,10,Revisão Geral  - Mecânica,,2016-06-17T00:00:00,,,RME,1,A,1
PRE,N,S,1,MOI05,3823,1,Verificar os dispositivos de segurança do moinho,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3824,2,Verificar as facas rotativas (06 peças),,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3825,3,Verificar as contra-facas (04 peças),,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3826,4,Verificar a tensão das correias em "V" do motor (03 peças),,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3827,5,Reapertar os parafusos de fixação das facas e contra-facas,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3828,6,Engraxar os rolamentos do eixo (02 graxeiros),Alvania R2,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3829,7,Engraxar os rolamentos da calandra de entrada (02 graxeiros),Alvania R2,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI05,3830,8,Verificar o sistema elétrico (reapertar os terminais e cabos),,2011-08-26T17:17:50,2011-08-26T17:17:50,,RTM,1,A,2
PRE,N,S,1,MOI05,3831,9,Revisão Mecânica,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RTM,1,A,3
PRE,N,S,1,MOI05,3832,10,Revisão Elétrica,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RTM,1,A,4
PRE,N,S,1,MOI06,3833,1,Verificar o funcionamento do botão de emergência stop,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3834,2,Verificar se as chaves de segurança bloqueiam o funcionamento do moinho,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3835,3,Verificar as condições das facas fixas e móveis e fazer a substituição caso necessário.,MERP 11804 e 11803,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3836,4,"Verificar a folga entre as facas (0,10mm).",,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3837,5,Verificar vazamento de óleo nos redutores dos rolos puxadores.,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3838,6,Verificar o tensionamento e as condições das correias de transmissão.,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3839,7,Verificar o torque (220Nm) dos parafusos de fixação do motor do moinho.,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3840,8,Verificar o torque dos parafusos das facas fixas (220Nm) e das facas móveis (220Nm).,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3841,9,Verificar cabos e conexões elétricas,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3842,10,"Inspeção completa do equipamento (Desgaste, peças soltas e ruídos anormais)",,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3843,11,Limpeza do painel elétrico,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3844,12,"Limpeza dos rolos puxadores, eliminando os fiapos e o pó.",,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3845,13,Limpeza do sistema de corte.,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI06,3846,14,Limpeza do compartimento interior do moinho.,,2011-08-26T17:17:50,2011-08-26T17:17:50,,RME,1,A,1
PRE,N,S,1,MOI07,3847,1,Checar quanto adanso e desgaste todos os cabos elétricos,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3848,2,"Checar as chaves de segurança (rolo alimentador, faca e funil de entrada)",,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3849,3,Checar o funcionamento do botão de emergencia,MERP 11804 e 11803,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3850,4,Checar se as facas fixas e rotativas estão afiadas,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3851,5,Verificar a distancia entre os rolos alimentadores e os raspadores,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3852,6,Checar as correias de transmissão quanto a tensão e desgastes,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3853,7,Checar o aperto dos para fusos de fixação do motor ao conjunto de facas (40Nm),,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3854,8,"Efetuar inspeção geral verificando peças, parafusos, porcas soltas",,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3855,9,Checar peças / partes que normalmente não sofreriam desgaste,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,MOI07,3856,10,Limpar / Organizar / Reapertar o painel elétrico,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
BAN,N,S,1,ALIM_MP03,3857,1,Verificar ruídos anormais na bomba de vácuo,,2011-08-26T00:00:00,2017-12-30T00:00:00,,RME,1,A,1
PRE,N,S,1,ALIM_MP03,3858,2,Verificar conexões elétricas do sistema,,2011-08-26T00:00:00,2017-12-30T00:00:00,,RME,1,A,1
PRE,N,S,1,ALIM_MP03,3859,3,Reapetar as tubulações de vácuo e ar comprimido,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,ALIM_MP03,3860,4,Limpeza geral na sala de bombas,,2011-08-26T00:00:00,2017-12-30T00:00:00,,RME,1,A,1
PRE,N,S,1,ALIM_MP03,3861,5,Revisão geral e troca se necessário nas mangueiras de matéria-prima e vácuo,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,ALIM_MP03,3862,6,Trocar os rolamentos das bombas de vácuo,,2011-08-26T00:00:00,2011-08-26T00:00:00,,RAN,1,A,2
PRE,N,S,1,ALIM_MP03,3863,7,Trocar os retentores da bomba de vácuo,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RAN,1,A,3
PRE,N,S,1,ALIM_MP03,3864,8,Revisão Mecânica no sistema,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RAN,1,A,4
PRE,N,S,1,ALIM_MP03,3865,9,Revisão Elétrica no sistema,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RAN,1,A,5
PRE,N,S,1,ALIM_MP03,3866,10,Revisão Pneumática no sistema,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RAN,1,A,6
PRE,N,S,1,ALIM_MP04,3867,1,Verificar ruídos anormais na bomba de vácuo,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,ALIM_MP04,3868,2,Verificar conexões elétricas do sistema,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,ALIM_MP04,3869,3,Reapetar as tubulações de vácuo e ar comprimido,,2011-08-26T17:17:51,2011-08-26T17:17:51,,RME,1,A,1
PRE,N,S,1,ALIM_MP04,3870,4,Limpeza geral na sala de bombas,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP04,3871,5,Revisão geral e troca se necessário nas mangueiras de matéria-prima e vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP04,3872,6,Trocar os rolamentos das bombas de vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,2
PRE,N,S,1,ALIM_MP04,3873,7,Trocar os retentores da bomba de vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,3
PRE,N,S,1,ALIM_MP04,3874,8,Revisão Mecânica no sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,4
PRE,N,S,1,ALIM_MP04,3875,9,Revisão Elétrica no sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,5
PRE,N,S,1,ALIM_MP04,3876,10,Revisão Pneumática no sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,6
PRE,N,S,1,ALIM_MP05,3877,1,Verificar ruídos anormais na bomba de vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP05,3878,2,Verificar conexões elétricas do sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP05,3879,3,Reapetar as tubulações de vácuo e ar comprimido,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP05,3880,4,Limpeza geral na sala de bombas,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP05,3881,5,Revisão geral e troca se necessário nas mangueiras de matéria-prima e vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,ALIM_MP05,3882,6,Trocar os rolamentos das bombas de vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,2
PRE,N,S,1,ALIM_MP05,3883,7,Trocar os retentores da bomba de vácuo,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,3
PRE,N,S,1,ALIM_MP05,3884,8,Revisão Mecânica no sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,4
PRE,N,S,1,ALIM_MP05,3885,9,Revisão Elétrica no sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,5
PRE,N,S,1,ALIM_MP05,3886,10,Revisão Pneumática no sistema,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RAN,1,A,6
PRE,N,S,1,FILTRO PRED. 00,3887,1,Realizar a limpeza dos filtros,,2011-08-26T00:00:00,2011-08-26T00:00:00,,RDI,1,A,1
PRE,N,S,1,VIRADOR01,3888,1,Verificar buzina e IDB,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3889,2,Verificar nível da água da bateria,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3890,3,Verificar mangueira hidráulicas,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3891,4,Verificar chicote de comando elétrico,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3892,5,Verificar cabos de potência,,2011-08-26T17:17:52,2011-08-26T17:17:52,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3893,6,Lubrificar corrente de elevação,,2011-08-26T17:17:53,2011-08-26T17:17:53,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3894,7,Lubrificar torre de elevação,,2011-08-26T17:17:53,2011-08-26T17:17:53,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3895,8,Regular rodas de apoio,,2011-08-26T17:17:53,2011-08-26T17:17:53,,RME,1,A,1
PRE,N,S,1,VIRADOR01,3896,9,Verificar kits contatores elétricos,,2011-08-26T17:17:53,2011-08-26T17:17:53,,RTM,1,A,2
PRE,N,S,1,VIRADOR01,3897,10,Verificar escovas de grafifte do motor de tração,,2011-08-26T17:17:53,2011-08-26T17:17:53,,RTM,1,A,4
PRE,N,S,1,VIRADOR01,3898,11,Verificar escovas de grafite do motor de elevação,,2011-08-26T17:17:53,2011-08-26T17:17:53,,RTM,1,A,7
